ID,Name,Brand,Missing Fields
cmg4f4399015bobfk9zigws66,Ambre Fonce,Ava Luxe,"description"
cmg4f439b015lobfkn2vqca5c,Black Coconut,Ava Luxe,"description"
cmg4f439i016bobfkss35usk2,Dancing Queen,Ava Luxe,"description"
cmg4f439j016jobfkxojstuc7,Figuer,Ava Luxe,"description"
cmg4f439k016tobfkgs4dgw27,Green Tea,Ava Luxe,"description"
cmg4f439h0161obfkvz5aqstw,Cashmere Musk,Ava Luxe,"description"
cmg4f439j016dobfki4u8upso,Crepe de Chine,Ava Luxe,"description"
cmg4f439j016nobfkvjkzgw21,China Pearl,Ava Luxe,"description"
cmg4f439k016vobfktkl59qjn,Heart of Glass,Ava Luxe,"description"
cmg4f439l0175obfked3yz5lu,Incense Noir,Ava Luxe,"description"
cmg4f439o017xobfkcp1uhoff,Mango,Ava Luxe,"description"
cmg4f439q018fobfk8r7z8ago,Queen Bess,Ava Luxe,"description"
cmg4f439s018nobfk7k9viv59,Sheer Musk,Ava Luxe,"description"
cmg4f439k016sobfkgj1r3k46,Gardenia,Ava Luxe,"description"
cmg4f439l0171obfkmorml65f,Frangipani,Ava Luxe,"description"
cmg4f439m017bobfk11r2will,Ingenue,Ava Luxe,"description"
cmg4f439n017oobfkhnr9hpvn,Loukhoum,Ava Luxe,"description"
cmg4f439p0187obfk1cabj2r0,Oriental Musk,Ava Luxe,"description"
cmg4f439r018iobfkblh8dvo7,Petit Amour,Ava Luxe,"description"
cmg4f439n017mobfknzbpojoz,Johri,Ava Luxe,"description"
cmg4f439o017wobfkx6jr2ess,Milk,Ava Luxe,"description"
cmg4f439p0183obfkmnus771q,Moksha,Ava Luxe,"description"
cmg4f439q018gobfkztec7dcg,Olibanum,Ava Luxe,"description"
cmg4f439t0192obfkzuoeubch,Wild Blackberry Musk,Ava Luxe,"description"
cmg4f439p0181obfkk8vaavwf,Mousse de Chine,Ava Luxe,"description"
cmg4f439r018lobfkbconkb7r,Red Tara,Ava Luxe,"description"
cmg4f439t0195obfkfnw9u9g2,Woodhue,Ava Luxe,"description"
cmg4f439t0193obfkzv0q1ql8,Tuberose Diabolique,Ava Luxe,"description"
cmg4f43a601bvobfksdpt472s,Avon Smile,Avon,"description"
cmg4f43a501bgobfkp2cldwz9,Avon Essence,Avon,"description"
cmg4f43an01f7obfknm4b34qv,Electrify Me,Avon,"description"
cmg4f43b001fkobfkq1mt632e,Everafter,Avon,"description"
