name,description,image,perfumeHouse,notes,product_url
Kyoto,"A gentle, soothing blend of cherry blossom, white sandalwood and star anise.",https://blackphoenixalchemylab.com/wp-content/uploads/2012/12/kyoto-1-600x467.jpg,Black Phoenix Alchemy Lab,"[""cherry"", ""sandalwood"", ""sandalwood - white"", ""gentle"", ""star anise"", ""white sandalwood"", ""soothing"", ""of cherry blossom"", ""cherry blossom""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/wanderlust/kyoto/
Pride,Vanity in extremis. The scent of rabid hauteur: Moroccan rose and narcissus.,https://blackphoenixalchemylab.com/wp-content/uploads/2013/07/Pride-600x467.jpg,Black Phoenix Alchemy Lab,"[""rose"", ""narcissus"", ""haughty"", ""vanity"", ""rose - moroccan""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/sin-and-salvation/the-seven-deadly-sins/pride/
Harlot Nail Polish,"CrèmeStark, unabashed red.",https://blackphoenixalchemylab.com/wp-content/uploads/2019/06/Harlot-600x892.jpg,Black Phoenix Alchemy Lab,"[""nail polish""]",https://blackphoenixalchemylab.com/shop/body-beauty/nail-polish/harlot-nail-polish/
The Naiads’ Hour,"Norman LindsayPearlescent ambergris and salt musk, white bergamot, elemi, white lemon peel, champaca, and seafoam.",https://blackphoenixalchemylab.com/wp-content/uploads/2024/05/THE-NAIADS-HOUR-600x750.jpg,Black Phoenix Alchemy Lab,"[""seafoam"", ""ambergris"", ""musk - salt"", ""musk"", ""bergamot - white"", ""salt musk"", ""lemon peel"", ""bergamot"", ""white bergamot"", ""champaca""]",https://blackphoenixalchemylab.com/shop/in-memoriam/a-little-lunacy/the-naiads-hour-perfume-oil/
Diana,"My temple stands in Ephesus: hie thee thither,And do upon mine altar sacrifice.There, when my maiden priests are met together,before the people all,Reveal how thou at sea didst lose thy wife:To mourn thy crosses, with thy daughter’s, callAnd give them repetition to the life.Or perform my bidding, or thou livest in woe;Do it, and happy; by my silver bow!",https://blackphoenixalchemylab.com/wp-content/uploads/2019/07/indyshakes-pericles-WEB-diana-600x473.jpg,Black Phoenix Alchemy Lab,"[""amaranth"", ""asphodel"", ""musk"", ""amber - golden"", ""musk - brown"", ""amber"", ""silver"", ""silver bow"", ""pericle"", ""shakespeare""]",https://blackphoenixalchemylab.com/shop/collaborations/independent-shakespeare-company/diana-perfume-oil/
Water of Notre Dame,"Brings peace to the spirit, a sense of calm and fulfillment, and attracts the aid of beneficial spirits.",https://blackphoenixalchemylab.com/wp-content/uploads/2012/12/Water-Of-Notre-Dame-1-600x467.jpg,Black Phoenix Alchemy Lab,"[""peace"", ""hoodoo"", ""calm"", ""spiritual aid"", ""benefic"", ""fulfillment""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/conjure-bag/water-of-notre-dame/
Twin Stars,Luis Ricardo Valero,https://blackphoenixalchemylab.com/wp-content/uploads/2024/06/twin-stars-june-lunacy-art-WEB-600x1359.jpg,Black Phoenix Alchemy Lab,"[""oud - laotian"", ""coming down sept24"", ""apple wine"", ""cashmere - black"", ""lavender - blue"", ""lemon rind"", ""bergamot - calabrian"", ""patchouli - aged 2 year""]",https://blackphoenixalchemylab.com/shop/in-memoriam/a-little-lunacy/twin-stars-perfume-oil/
Gluttony,"Thick, sugared and bloated with sweetness. Dark chocolate, vanilla, buttercream, and hops with pralines, hazelnut, toffee and caramel.",https://blackphoenixalchemylab.com/wp-content/uploads/2018/11/BPAL_logo_circle_Placeholder_T.jpg,Black Phoenix Alchemy Lab,"[""toffee"", ""chocolate"", ""buttercream"", ""hop"", ""hazelnut"", ""vanilla"", ""caramel"", ""sweet"", ""chocolate - dark""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/sin-and-salvation/envy-2/
Fae Forest Home & Linen Spray,"Mist-shrouded woods: Siberian fir needles, white pine bark, aspen leaf, wild lily, bergamot, wood violet, thimbleberry, sun-star, golden bell, snowdrop, heartsease, and bloodroot.",https://blackphoenixalchemylab.com/wp-content/uploads/2019/06/Fae-2-600x896.jpg,Black Phoenix Alchemy Lab,"[""bloodroot"", ""heartsease"", ""rpg"", ""home & linen spray"", ""violet"", ""pine"", ""pine bark"", ""squirt"", ""white pine"", ""aspen""]",https://blackphoenixalchemylab.com/shop/home-linen/home-linen-spray/fae-forest-home-linen-spray/
Druid,"A woolen robe infused with the scent of a vast, primordial forest: ancient trees, fertile soil, wild herbs, spring grasses, and burgundy pitch incense.",https://blackphoenixalchemylab.com/wp-content/uploads/2012/12/druid_f-600x472.jpg,Black Phoenix Alchemy Lab,"[""rpg"", ""grass"", ""primeval"", ""season - spring"", ""incense"", ""herb"", ""artist - julie dillon"", ""soil""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/rpg-series/classes/druid/
